"scenario","pair","api_revision","api_instance_id","api_autoscaling_start_utc","api_start_to_response_ms","ml_revision","ml_instance_id","ml_autoscaling_start_utc","ml_model_load_complete_utc","first_search_complete_utc","request_id","cold_verified"
"after","1","benefit-api-pl2a-0ba0aa4","001548f729685e4085aa3dd12f2d5f8d472fc8609a44b2065d600663f1e411ece3df9f0e4bbf847cadfeb0dead212db47e4d01d4684f696f93064a734797ffa7d5e4453705383166882edc976242a6c5","2026-07-21T18:26:10.9246040Z","37029.934","benefit-ml-pl2a-0ba0aa4","001548f7290b426fd8df513a79f52fde073cb1994eb75d03c53eab521ecde75c1197a44271c92df12f9c19cf0985854eec8fb19400aa2ef6066822d79f6710ce3963e0ffa155f3fcdee0dd76e526598eb366","2026-07-21T18:26:16.0481130Z","2026-07-21T18:26:38.8884320Z","2026-07-21T18:26:48.2598120Z","0d05d5f0-c6fd-4576-9b48-9185836bb032","True"
"before","1","benefit-api-pl2b-0ba0aa4","001548f729813f311daca62ede838880e138189e4161e06c1b0547c03568a082e6260152100caeb93d57295ef39d868a589e9e47708c2ab2daa69fe60e1b42da4f9cce9795c443486b764662b1b3bd35d4","2026-07-21T18:26:11.8124160Z","36192.451","benefit-ml-pl2b-0ba0aa4","001548f729039ce0795711031a308a569d82c3540ecb521ad152d0e9545ebfbd542b5d7bcd51f560e378b1096a2864c94feab806b2d2f4ef351f29d4f178a2e02519bba3650bbe3bafac9114ea23e1a73148","2026-07-21T18:26:17.5359620Z","2026-07-21T18:26:42.5532200Z","2026-07-21T18:26:48.2677030Z","e881f738-8f42-4743-92dd-53539f0248da","True"
"after","2","benefit-api-pl2a-0ba0aa4","001548f72912301afa0c1d4ffedf96fe65cc8344221ee609bc0b3349d5ce3662a1570630eaf3cdbd17a64b8b4350eaf36df76464720a82a92811fa156a7cdeb72efdb28ed6d01dd889123612aeb6a1d8","2026-07-21T18:44:32.9735710Z","35079.78","benefit-ml-pl2a-0ba0aa4","001548f729383dd70f30fe31737043190b1a76fb5af793ea6360c5e4a682d17678c6c098943238210cd53e2b2bb00fca7b45bb0c24bb26ebf2f3a6a41a629020fa0414173fb5fad3aa50a21dc8d9915fc58d","2026-07-21T18:44:38.1608880Z","2026-07-21T18:45:01.7079470Z","2026-07-21T18:45:08.3840050Z","31d15fd4-0993-4c42-b93f-f2c91a7ef1c7","True"
"before","2","benefit-api-pl2b-0ba0aa4","001548f729e605df76efb85cc33f7f6187c8c91be08a7b2d027108eee1fb302f8fbe526c6aaee40a4f2a1e835431545798716e67e6438d3389b741772c39e61c5f3c17cfc4c340153e3d0f4dcd574744fb","2026-07-21T18:44:32.5600610Z","35491.713","benefit-ml-pl2b-0ba0aa4","001548f729d3ab48aba9d1c65f6704a39913434aee7162be50fb1985fc5e3da0b438419a5c35ea7cb39477cb01dd679b4b3f042085c74b102cbaf093ea4f3a99d4cb6bc2dd666a57e848c5f108212aefc0eb","2026-07-21T18:44:38.3119920Z","2026-07-21T18:45:03.1707960Z","2026-07-21T18:45:08.3805980Z","a4f492f2-9610-47f3-8084-5d311b0b598d","True"
"after","3","benefit-api-pl2a-0ba0aa4","001548f72945ba8163f8354ee6b06d8b6515166e8517de36f4525aa16bda65ad2e7f02622a4639a42707d4b06b10f7cd42ac49858334430516c43f137c92aba5edfb7cfce06d79a749fd01d12ae6a37bc0","2026-07-21T19:00:43.5158140Z","43527.669","benefit-ml-pl2a-0ba0aa4","001548f7297332746a1d6cc5682b7673146d3c3bbe0940f8870deab24ab35fe4f0716bd1a17b99f29424ad83ef88090d02dcf68a326676ed2ea9800a595531fd6aee42fccf2ed1ad898b08cc409536e8d53b","2026-07-21T19:00:49.6949520Z","2026-07-21T19:01:22.2499690Z","2026-07-21T19:01:27.3246710Z","c0c34582-6b3d-46c9-99d3-723c3347a847","True"
"before","3","benefit-api-pl2b-0ba0aa4","001548f7294b55a02ec510db3e1544e1945bf0ace11969fe47b1d67ab5ff8d2e6363b62ea68b35160c862e7c458ff24ccb2c4b193182da0a56760037f4178ad583cae3a04f016334a64e84408dd5e52e87","2026-07-21T19:00:43.4988450Z","38426.056","benefit-ml-pl2b-0ba0aa4","001548f729b29953736539d6cf2998c2051969acd424be6d9419c07c15e9a441e0ef6e1f4348406dd9a0ff5fdc3ba38d48317179edadcd1bd21b3ba967e2103f62cc89b9ba71865fc1346b336c7d5009bc52","2026-07-21T19:00:49.6024390Z","2026-07-21T19:01:16.6085260Z","2026-07-21T19:01:22.2691410Z","98c1d408-7527-4553-a675-dbbc31454aca","True"
"after","4","benefit-api-pl2a-0ba0aa4","001548f7298cba4511365bdb7b2512fde2f1d2d9546dbd09d73dec169c925e7e23335e2aa7b4ccce9e1449a57f658c3959668b76514a842394f38dc3393eeca9216f3c440a9d7666846642406415ba1203","2026-07-21T19:17:02.8564740Z","41373.993","benefit-ml-pl2a-0ba0aa4","001548f72902303ef5db6bfbf7e655d01a49d57f749a9b33a99ade9efa5025cda1323a54a48f13fd02b88a58dd0b3d6a4bf7001fb3ff8c520fac59310c4923ce0752261788bf6574bdaeaf34b20ad49cca15","2026-07-21T19:17:08.8708840Z","2026-07-21T19:17:39.5148780Z","2026-07-21T19:17:44.5522000Z","af6a8017-4709-45d9-ab1a-5ae6c64e58af","True"
"before","4","benefit-api-pl2b-0ba0aa4","001548f729a4e96b0c03ce92c7945004fb4f611b7835231f1cef529b4a1c48c6a75520e21b1a4cc532921c42cb0078e445e5edd1f778811dadbbafd66bf647c32a85c4dbb1ea874ad6b5f3be3ec48709b2","2026-07-21T19:17:02.6484400Z","36915.489","benefit-ml-pl2b-0ba0aa4","001548f729b044c60bd473898042391dd718c4c3025d3040e35ecd6d1aff9a4d910e65545b636fd34304ff929a9d0a8c0066cfc4060e350666176f6571e8828fd7d4e372a29bafe8986e4f7bb45f0847d5c5","2026-07-21T19:17:09.3162990Z","2026-07-21T19:17:34.7090020Z","2026-07-21T19:17:39.8681220Z","c104c909-fcb0-4c10-9048-652f069dfabe","True"
"after","5","benefit-api-pl2a-0ba0aa4","001548f72933dc527f79025e4b007f23866b9e6187943d6bdc3c3292dcce025f572aa20efc04f4bd8578513ca7ac6f9c25b25cb615bb32c63e688fd5931ccef8f8c8f5ef91030835e728c525374b75e028","2026-07-21T19:33:36.7989480Z","35119.969","benefit-ml-pl2a-0ba0aa4","001548f729f16f275c71c27f97cdde1add4a6c5fa736f34f2afa9be85ab95b7e69af3499afae2feb2cd6d2b5586164356e7da59b74e9c2d64cfac035602056ac57ad2d87acf46c55ee293217cbe352549ad5","2026-07-21T19:33:41.8744310Z","2026-07-21T19:34:06.4136480Z","2026-07-21T19:34:12.2233310Z","82a67333-7e33-4e97-b33e-0f105b94c938","True"
"before","5","benefit-api-pl2b-0ba0aa4","001548f729edf3a546e31c464905d71dec44a0aaa6b6ba90d08da61ae236e7a6771e715b365984743b8b3026611c21092a179f5a2ce02b89850b5b9b40be2e120e8c3fa6fa04a9f681af79b17765a97ab3","2026-07-21T19:33:33.0303080Z","37743.219","benefit-ml-pl2b-0ba0aa4","001548f7298de6af9844d682d127e35f6851673f02265d659088b4720ba33669a3a1c1b56e50fadc15ced8e50c83ab80f0d5c8346f0793d66b8e98b7cc3fc2981e683143f7ee9a953d787f2551b428aee39f","2026-07-21T19:33:38.7289600Z","2026-07-21T19:34:05.8119180Z","2026-07-21T19:34:11.1628840Z","2ceca057-f0ad-438f-9402-a276ede23488","True"
