"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"after_pair_1","benefit-api-pl2a-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T18:26:47.9545376+00:00","/api/policies/recommend","37781.083","200","5","0d05d5f0-c6fd-4576-9b48-9185836bb032","5189.743999999999","32591.339","25199.837","0.012","5259.225","1147.606","984.007","0","7391.502","","21541.786",""
"after_pair_1","benefit-api-pl2a-0ba0aa4","2","warm","not_applicable","2026-07-21T18:26:48.6977868+00:00","/api/policies/recommend","735.886","200","5","ed42b797-f916-40a9-a162-71b5039e2c7d","25.430999999999926","710.455","17.109","0.011","51.651","417.305","223.73","0","693.346","","21541.786",""
"after_pair_2","benefit-api-pl2a-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T18:45:08.0533513+00:00","/api/policies/recommend","35820.86","200","5","31d15fd4-0993-4c42-b93f-f2c91a7ef1c7","5201","30619.86","25934.645","0.025","3786.249","534.806","363.343","0","4685.215","","22099.894",""
"after_pair_2","benefit-api-pl2a-0ba0aa4","2","warm","not_applicable","2026-07-21T18:45:08.8270225+00:00","/api/policies/recommend","767.892","200","5","f4c3ad67-22f3-4ac5-92a9-3acaa3dde3d5","22.975000000000023","744.917","17.352","0.011","71.615","424.387","230.567","0","727.565","","22099.894",""
"after_pair_3","benefit-api-pl2a-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:01:27.0434829+00:00","/api/policies/recommend","44274.4","200","5","c0c34582-6b3d-46c9-99d3-723c3347a847","6140.646000000001","38133.754","33820.907","0.013","3604.873","482.938","224.131","0","4312.847","","30659.622",""
"after_pair_3","benefit-api-pl2a-0ba0aa4","2","warm","not_applicable","2026-07-21T19:01:27.8409175+00:00","/api/policies/recommend","791.726","200","5","245879e3-21e8-492c-add1-a724f7ab3f34","28.581000000000017","763.145","19.509","0.011","66.022","445.179","231.484","0","743.636","","30659.622",""
"after_pair_4","benefit-api-pl2a-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:17:44.2304673+00:00","/api/policies/recommend","42130.594","200","5","af6a8017-4709-45d9-ab1a-5ae6c64e58af","6015.553999999996","36115.04","31513.741","0.013","3895.305","482.619","222.552","0","4601.299","","28763.193",""
"after_pair_4","benefit-api-pl2a-0ba0aa4","2","warm","not_applicable","2026-07-21T19:17:45.0456116+00:00","/api/policies/recommend","808.683","200","5","9b41c282-a8ad-455a-851e-48cf59a37073","28.855999999999995","779.827","22.092","0.022","69.95","456.949","229.747","0","757.735","","28763.193",""
"after_pair_5","benefit-api-pl2a-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:34:11.9189166+00:00","/api/policies/recommend","35891.678","200","5","82a67333-7e33-4e97-b33e-0f105b94c938","5147.646000000001","30744.032","25646.361","0.012","4333.549","529.897","233.552","0","5097.671","","23092.88",""
"after_pair_5","benefit-api-pl2a-0ba0aa4","2","warm","not_applicable","2026-07-21T19:34:12.6850997+00:00","/api/policies/recommend","759.713","200","5","7c537a55-fe94-4974-a9a1-11da2669257d","24.569999999999936","735.143","18.913","0.011","52.625","433.62","229.29","0","716.23","","23092.88",""
