"scenario","revision","run","temperature","cold_verification","timestamp_utc","endpoint","duration_ms","status","result_count","request_id","client_api_residual_ms","api_to_ml_ms","api_ml_transport_ms","ml_model_wait_ms","ml_embedding_ms","ml_db_connect_ms","ml_db_query_ms","ml_rerank_ms","ml_total_ms","gemini_ms","ml_model_load_ms","error_type"
"before_pair_1","benefit-api-pl2b-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T18:26:48.0048673+00:00","/api/policies/recommend","36902.532","200","5","e881f738-8f42-4743-92dd-53539f0248da","5798.560999999998","31103.971","26615.032","0.009","3516.38","577.037","394.917","0","4488.939","","23970.425",""
"before_pair_1","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T18:26:48.7719303+00:00","/api/policies/recommend","761.822","200","5","10db9908-4a69-41af-8e9e-d1c160f1c257","33.53899999999999","728.283","15.419","0.011","38.11","443.12","230.994","0","712.864","","23970.425",""
"before_pair_2","benefit-api-pl2b-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T18:45:08.0517740+00:00","/api/policies/recommend","36229.78","200","5","a4f492f2-9610-47f3-8084-5d311b0b598d","5771.447","30458.333","26299.981","0.011","1639.416","1539.135","979.18","0","4158.352","","23804.688",""
"before_pair_2","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T18:45:08.8497126+00:00","/api/policies/recommend","792.19","200","5","c8b27e0e-abc4-42ce-8070-9e70d0ccf0fa","39.1160000000001","753.074","16.046","0.011","50.202","446.939","239.282","0","737.028","","23804.688",""
"before_pair_3","benefit-api-pl2b-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:01:21.9249013+00:00","/api/policies/recommend","39172.488","200","5","98c1d408-7527-4553-a675-dbbc31454aca","6103.006999999998","33069.481","28867.11","0.012","2144.904","1081.041","975.741","0","4202.371","","25772.472",""
"before_pair_3","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T19:01:22.7053319+00:00","/api/policies/recommend","774.53","200","5","73a6f433-ecb2-44bc-9ed3-adce0d883569","27.386999999999944","747.143","16.883","0.013","54.344","442.281","232.661","0","730.26","","25772.472",""
"before_pair_4","benefit-api-pl2b-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:17:39.5639289+00:00","/api/policies/recommend","37678.16","200","5","c104c909-fcb0-4c10-9048-652f069dfabe","6727.996000000003","30950.164","26962.727","0.012","1883.366","1125.793","977.615","0","3987.437","","24239.065",""
"before_pair_4","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T19:17:40.3616890+00:00","/api/policies/recommend","791.603","200","5","d1859cd0-23e1-4522-b0fb-2f1c0e6c5da3","30.226","761.377","16.492","0.011","39.872","462.486","241.932","0","744.885","","24239.065",""
"before_pair_5","benefit-api-pl2b-0ba0aa4","1","cold_candidate","pending_revision_log","2026-07-21T19:34:10.7735268+00:00","/api/policies/recommend","38514.074","200","5","2ceca057-f0ad-438f-9402-a276ede23488","5670.667999999998","32843.406","28790.514","0.011","1908.034","1085.569","1058.662","0","4052.892","","25766.568",""
"before_pair_5","benefit-api-pl2b-0ba0aa4","2","warm","not_applicable","2026-07-21T19:34:11.5505346+00:00","/api/policies/recommend","771.043","200","5","a2691cb6-2d17-458c-b1a8-1fec2c89b8ca","21.394000000000005","749.649","16.215","0.012","55.586","444.031","233.188","0","733.434","","25766.568",""
