timestamp_utc,round,mode,operations,total_ns,ns_per_operation
2026-07-21T17:35:30.779796100Z,1,enabled,50000,329138300,6582.766
2026-07-21T17:35:30.788306300Z,1,disabled,50000,7677400,153.548
2026-07-21T17:35:30.796311Z,2,disabled,50000,7412700,148.254
2026-07-21T17:35:31.125689800Z,2,enabled,50000,328694700,6573.894
2026-07-21T17:35:31.442107800Z,3,enabled,50000,316076300,6321.526
2026-07-21T17:35:31.448615Z,3,disabled,50000,6792100,135.842
2026-07-21T17:35:31.455627500Z,4,disabled,50000,6681100,133.622
2026-07-21T17:35:31.776950Z,4,enabled,50000,321336700,6426.734
2026-07-21T17:35:32.128932900Z,5,enabled,50000,352194400,7043.888
2026-07-21T17:35:32.135943200Z,5,disabled,50000,6755900,135.118
2026-07-21T17:35:32.143455300Z,6,disabled,50000,7587300,151.746
2026-07-21T17:35:32.515424300Z,6,enabled,50000,371437100,7428.742
2026-07-21T17:35:32.938230200Z,7,enabled,50000,422894100,8457.882
2026-07-21T17:35:32.945236200Z,7,disabled,50000,7227900,144.558
2026-07-21T17:35:32.952746700Z,8,disabled,50000,7319100,146.382
2026-07-21T17:35:33.280329Z,8,enabled,50000,326930200,6538.604
2026-07-21T17:35:33.619159200Z,9,enabled,50000,339396100,6787.922
2026-07-21T17:35:33.626161400Z,9,disabled,50000,6302200,126.044
